ID,Title,Author,Price ($),Stock
1,The Bible,Holy Scripture,13.33,81
2,Epic of Gilgamesh,Unknown,5.00,14
3,Iliad,Homer,6.11,3
4,Odyssey,Homer,6.22,94
5,Mahabharata,Vyasa,16.67,35
6,Ramayana,Valmiki,9.44,31
7,Tao Te Ching,Laozi,4.22,28
8,The Art of War,Sun Tzu,3.89,17
9,The Republic,Plato,5.33,94
10,Poetics,Aristotle,4.67,13
11,Nicomachean Ethics,Aristotle,5.44,86
12,Aeneid,Virgil,5.67,94
13,Metamorphoses,Ovid,5.89,69
14,Meditations,Marcus Aurelius,4.33,11
15,Commentaries on the Gallic War,Julius Caesar,4.89,75
16,Annals,Tacitus,6.67,54
17,Confessions,Augustine of Hippo,5.22,4
18,The City of God,Augustine of Hippo,9.89,3
19,Shahnameh,Ferdowsi,12.22,11
20,Primary Chronicle,Nestor the Chronicler,5.78,27
21,Slovo o polku Igoreve,Unknown,3.33,29
22,The Divine Comedy,Dante Alighieri,8.33,64
23,Dekameron,Dzhovanni Bokkachcho,7.56,77
24,Kenterberiyskie rasskazy,Dzheffri Choser,6.89,3
25,Pokhvala gluposti,Erazm Rotterdamskiy,4.56,71
26,Gosudar,Nikkolo Makiavelli,4.22,25
27,Utopiya,Tomas Mor,4.00,91
28,Gargantyua i Pantagryuel,Fransua Rable,8.78,83
29,Opyty,Mishel de Monten,9.44,89
30,Don Kikhot,Migel de Servantes,9.89,69
31,Hamlet,William Shakespeare,3.89,53
32,Romeo i Dzhuletta,William Shakespeare,3.56,28
33,Makbet,William Shakespeare,3.67,57
34,Korol Lir,William Shakespeare,3.78,75
35,Otello,William Shakespeare,3.67,35
36,Sonety,William Shakespeare,3.22,0
37,Poteryannyy ray,Dzhon Milton,6.44,97
38,Zhizn est son,Pedro Kalderon,4.11,20
39,Tartyuf,Moler,3.44,89
40,Meshchanin vo dvoryanstve,Moler,3.33,54
41,Mysli,Blez Paskal,5.11,43
42,Priklyucheniya Robinzona Kruzo,Daniel Defo,5.00,35
43,Puteshestviya Gullivera,Dzhonatan Svift,5.33,19
44,"Zadig, ili Sudba",Volter,3.89,27
45,"Kandid, ili Optimizm",Volter,3.78,97
46,Obshchestvennyy dogovor,Zhan-Zhak Russo,4.67,43
47,Confessions,Zhan-Zhak Russo,6.11,13
48,Issledovanie o prirode i prichinakh bogatstva narodov,Adam Smit,10.89,11
49,Kritika chistogo razuma,Immanuil Kant,10.22,48
50,Stradaniya molodogo Vertera,Iogann Volfgang fon Gyote,4.22,12
51,Faust,Iogann Volfgang fon Gyote,7.22,45
52,Razboyniki,Fridrikh Shiller,4.00,44
53,Puteshestvie iz Peterburga v Moskvu,Aleksandr Radishchev,4.33,77
54,Eugene Onegin,Alexander Pushkin,4.44,33
55,Kapitanskaya dochka,Alexander Pushkin,3.89,5
56,Pikovaya dama,Alexander Pushkin,3.11,93
57,Mednyy vsadnik,Alexander Pushkin,2.78,58
58,Boris Godunov,Alexander Pushkin,3.56,68
59,Geroy nashego vremeni,Mikhail Lermontov,4.22,15
60,Mtsyri,Mikhail Lermontov,3.00,48
61,Demon,Mikhail Lermontov,2.89,10
62,Revizor,Nikolai Gogol,3.89,70
63,Dead Souls,Nikolai Gogol,5.33,37
64,Shinel,Nikolai Gogol,3.22,80
65,Taras Bulba,Nikolai Gogol,3.78,79
66,Fathers and Sons,Ivan Turgenev,4.67,46
67,Zapiski okhotnika,Ivan Turgenev,5.00,73
68,Dvoryanskoe gnezdo,Ivan Turgenev,4.33,24
69,Oblomov,Ivan Goncharov,5.78,90
70,Crime and Punishment,Fyodor Dostoevsky,6.44,8
71,Idiot,Fyodor Dostoevsky,6.89,5
72,Bratya Karamazovy,Fyodor Dostoevsky,8.33,84
73,Besy,Fyodor Dostoevsky,7.56,29
74,Zapiski iz podpolya,Fyodor Dostoevsky,4.22,98
75,Igrok,Fyodor Dostoevsky,4.00,37
76,War and Peace,Leo Tolstoy,13.33,10
77,Anna Karenina,Leo Tolstoy,8.67,29
78,Voskresenie,Leo Tolstoy,6.11,12
79,Smert Ivana Ilicha,Leo Tolstoy,3.44,48
80,Kreytserova sonata,Leo Tolstoy,3.56,35
81,Groza,Aleksandr Ostrovskiy,3.56,58
82,Bespridannitsa,Aleksandr Ostrovskiy,3.67,81
83,Levsha,Nikolay Leskov,3.22,46
84,Ocharovannyy strannik,Nikolay Leskov,3.78,20
85,Komu na Rusi zhit khorosho,Nikolay Nekrasov,4.22,47
86,Palata № 6,Anton Chekhov,3.44,45
87,Vishnevyy sad,Anton Chekhov,3.67,26
88,Chayka,Anton Chekhov,3.56,85
